Net1_Parameters,Net2_Parameters
[1.12383849],[-0.324779]
[1.07173816],[0.5499829]
[-0.40322196],[0.1102872]
[2.11754366],[0.29514922]
[-0.30623357],[-0.38779777]
[0.74577979],[-2.39041218]
[0.77100562],[1.8157078]
[-0.8521273],[-0.43120625]
[-0.75321027],[-0.130582]
[1.19397485],[0.04996238]
[-1.05459605],[1.61392703]
[0.29885009],[0.14925581]
[0.41493672],[1.08086073]
[0.97362531],[-0.23112915]
[0.76324907],[0.69433856]
[-0.50145051],[-1.32370192]
[1.0355094],[0.64448292]
[-0.30716696],[-0.05663766]
[-0.93689874],[1.06292668]
[-0.18411932],[0.19935657]
[0.8073657],[1.95115477]
[0.05353934],[-0.83419189]
[0.33592977],[0.3369116]
[0.7678783],[-0.20732656]
[0.4162288],[0.0837623]
[0.57403903],[0.43849348]
[0.98967444],[1.4116712]
[1.0270859],[0.90690707]
[0.98989764],[0.14090873]
[0.27692785],[0.30471662]
[0.31517896],[-0.09167356]
[1.33278379],[2.25063062]
[1.86760285],[0.93048993]
[1.84164634],[-0.43145926]
[0.64491092],[1.23650709]
[1.10735028],[0.71178954]
[0.28536732],[1.76820761]
[0.54498704],[0.4470781]
[2.67656627],[0.08973812]
[1.098532],[0.49060083]
[1.28940519],[0.24906302]
[0.73795843],[1.11779106]
[0.18444145],[0.18949724]
[1.24874586],[0.01077247]
[0.5156153],[1.04590467]
[3.28509179],[-0.01479213]
[0.06949445],[-0.64040669]
[0.58390542],[2.06449273]
[1.95760115],[0.77264763]
[-0.1661951],[1.46668799]
[0.67373703],[0.66470321]
[-0.05966367],[0.91612519]
[1.03849998],[0.27412163]
[0.56977392],[0.25717733]
[0.75927475],[0.73374968]
[0.09525797],[0.55534345]
[1.2760927],[0.76890298]
[0.14629196],[-1.64550631]
[-0.43910504],[1.22923501]
[-0.62230319],[-2.21939061]
[1.33379277],[0.45372982]
[1.17715883],[1.12895965]
[0.02521093],[-0.08274022]
[0.57861485],[1.03260465]
[1.80159845],[-0.38650914]
[0.81808094],[-0.22295091]
[0.15710569],[0.23814159]
[-0.09412656],[0.38788905]
[0.6574893],[0.09599315]
[1.85088018],[0.76396824]
[1.26294502],[-0.33563972]
[0.24427253],[-0.31468888]
[-0.52775241],[2.0178187]
[2.31675234],[0.42623422]
[-0.48744259],[0.72095292]
[0.18413126],[0.46590798]
[0.30112824],[1.04742918]
[1.41774093],[0.29481688]
[1.27430746],[-1.2818148]
[0.57104367],[0.66889336]
[0.94491881],[0.09318059]
[-0.18707061],[-0.34644966]
[2.44511962],[2.00013317]
[-1.26084403],[-1.00767425]
[-0.03632725],[0.55703687]
[1.1669125],[-0.28079971]
