Net1_Parameters,Net2_Parameters
[1.96386788],[2.76325994]
[1.8884146],[-0.55841159]
[3.82357437],[0.18854517]
[1.23380151],[-2.01852373]
[2.32738155],[-1.86815493]
[-1.56183923],[2.19681069]
[-3.91995363],[-1.67670837]
[1.40819145],[0.38168926]
[-0.75704666],[0.38398715]
[2.543409],[-4.91797805]
[2.54264159],[1.47302229]
[3.67694659],[2.97879122]
[-1.07982294],[-6.50444498]
[2.75943055],[1.89094673]
[-2.75916569],[-1.73095296]
[3.10006413],[-0.41355021]
[2.7931656],[-2.76374544]
[-4.08906508],[1.82284447]
[1.15337283],[3.92738529]
[-2.89573544],[2.07668316]
[0.99998801],[0.83194442]
[-5.20863775],[3.30603535]
[3.04947048],[0.67023745]
[-6.50261643],[1.21569927]
[1.0825401],[2.29713634]
[1.56798436],[-3.12190383]
[-1.86337323],[1.59247839]
[1.65108009],[3.21145627]
[-0.54932474],[0.31850189]
[-5.28827696],[4.24460937]
[-0.14120193],[0.94516948]
[1.65203446],[1.80621382]
[-2.2983522],[1.1284158]
[2.67746992],[2.2028742]
[2.28912178],[-1.49330669]
[2.3205395],[0.34682914]
[0.03201831],[2.54585604]
[6.78479897],[4.30489899]
[0.95578808],[3.36387107]
[-1.15799697],[0.0463337]
[-2.14777046],[-2.07912729]
[0.99290851],[2.50472539]
[2.11975568],[-3.4056823]
[0.79075423],[4.33850166]
[5.01703032],[1.13071438]
[1.57250797],[-0.84619434]
[-1.68014404],[-1.98403901]
[1.7373675],[2.71882769]
[-1.57943494],[0.09367129]
[1.03568293],[-1.08193001]
[-2.54786301],[2.04965148]
[-0.80231757],[-0.63413413]
[-4.45892567],[1.02491274]
[3.71645438],[-4.21629043]
[-2.36476227],[0.43426089]
[0.74797471],[-1.03748855]
[1.84566719],[2.03292687]
[4.17593988],[2.37810236]
[0.98385548],[-0.77028464]
[1.5374476],[-2.69481966]
[-2.38979536],[6.76691039]
[4.38133737],[3.01044458]
[0.66815912],[2.36202561]
[6.80256938],[1.09355622]
[-0.89157528],[5.8879289]
[-0.58592562],[-0.51730191]
[-1.13149345],[1.22664732]
[-0.09096788],[6.1589489]
[2.26581074],[0.66490512]
[2.45630901],[1.13875778]
[1.85706571],[-1.52234004]
[-0.88966597],[-2.07367563]
[1.31910825],[-1.15211666]
[-2.23171118],[1.98393371]
[6.92261077],[-2.70571841]
[0.228884],[4.03317315]
[0.55813253],[-2.80959965]
[1.31934856],[1.51989736]
[-0.70297768],[1.51808096]
[-4.85649247],[1.08010772]
[-1.56689138],[-1.78367493]
[-0.08026999],[2.15140327]
[-2.95060743],[-0.63926855]
[1.5577537],[0.33827962]
[-0.6748704],[-0.1751334]
[4.10428348],[1.73457471]
[-4.01570756],[4.02996378]
[-1.08683005],[-1.32042973]
[7.39881244],[2.84224576]
[2.86135017],[0.99957011]
[4.00398657],[-3.668071]
[-1.4787949],[-4.24077994]
[-4.24781166],[0.23115439]
[3.49525275],[1.02287828]
[4.07319975],[-6.83960278]
[2.0427612],[-2.42111425]
[2.85307746],[2.30112186]
[-2.13259401],[-6.47010538]
[3.62643912],[1.76037394]
[-0.23497459],[-0.40782341]
[-1.48855667],[2.13125391]
[2.88524286],[2.7924804]
[-3.9400146],[0.08423099]
[2.13120755],[-0.50715384]
[1.7708537],[-2.93629021]
[-2.29584299],[-0.28922261]
[6.3452805],[-3.4573991]
[1.16654032],[-1.16264726]
[2.85137636],[0.21503159]
[7.03433128],[0.40681377]
[-0.45025921],[1.33162283]
[3.82249532],[0.65653723]
[0.47512121],[3.85475331]
[2.12506865],[-1.27483308]
[4.08426826],[-6.4765781]
[-2.01425983],[6.85616245]
[-2.49840664],[2.02244201]
[3.57552773],[-0.57198069]
[0.04002859],[1.19107101]
[1.76359798],[-0.6691253]
[-2.54405657],[6.69511797]
[-4.89803421],[-3.12382186]
[0.36844887],[0.13797534]
[5.10389149],[4.45403634]
[6.30616888],[0.821705]
[0.23064255],[-0.59355777]
[-4.21839356],[-0.99006254]
[-1.44445978],[1.8872188]
[2.01392235],[-0.25024403]
[2.89939189],[-2.79723145]
[-0.81676902],[2.95026009]
[4.97728936],[-2.12831945]
[-1.15820597],[5.57782528]
[-0.75719186],[2.78431428]
[-1.59984879],[4.93270379]
[-2.4258535],[2.69501592]
[2.40082355],[-2.3964179]
[4.7943738],[4.27237556]
[-5.32384461],[2.19427832]
[-0.15336147],[4.0451095]
[-0.8913795],[1.47673041]
[-1.43858998],[-2.81651373]
[-1.53160752],[4.71447829]
[3.96995289],[5.42680483]
[2.55361714],[-4.424026]
[-1.52064128],[0.2589915]
[-3.1388663],[2.54068774]
[-0.6941125],[2.47841048]
[1.44482797],[0.0272681]
[0.50475891],[2.00877661]
[0.44931787],[3.01027633]
[1.88642697],[-1.56019392]
